"",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,3937,3885,4014,3885,3987,3881,3893,3944,3843,4048,3827,3840,3992,3967,3901,3996,3931,3859,3837,3914,3915,3925,3929,4035,3917,3767,3842,3892,3917,3896,3887,3788,3908,3672,3747,3894,3851,3928,3971,3843,3979,3872,3929,3877,3867,3880,3864,3966,3888,3936,3834,3845,3963,3904,3890,3855,3999,3883,3922,3917,3935,3890,3962,3951
1,3843,3990,3776,3858,3827,3948,3875,3985,3862,3918,3922,3818,3879,3928,3964,3876,3798,3952,3818,3934,3813,3909,3829,4013,3853,3809,4040,3862,3938,3958,3884,3924,3893,3887,3941,3841,3907,3962,3872,3831,3839,3791,3899,3889,3860,3840,3838,3855,3861,3818,3894,3927,3935,3841,3856,3908,3868,3862,3905,3929,3909,3916,3892,3924
2,3874,3854,3972,3857,3859,3875,3876,3853,3848,3745,3916,3824,3872,3939,3986,3941,4029,3875,3972,3789,3883,4071,3844,3935,3853,3869,3872,3854,3932,3943,3925,3845,3917,3917,3983,3919,3918,3900,3896,3981,3862,3987,3868,3830,3887,3814,3855,3884,3886,3941,3928,3996,3863,3905,3877,3902,3927,3854,3797,3909,3782,3892,3854,3810
3,3932,4000,3973,3896,3957,3875,3771,3965,3830,3848,3935,3986,3809,3787,3900,3943,3770,3854,3903,3984,3846,3855,3931,3945,3837,3941,3921,3900,3860,3936,3884,4021,3820,3913,3919,3919,3972,3929,3752,3907,3944,3859,3940,3954,3853,3984,4009,4048,3902,3943,3933,3939,3861,3871,3918,3830,3836,3862,3836,3944,3944,4093,3842,3832
4,3874,3766,3838,3916,3868,3852,3967,3850,3960,3916,3873,4012,3814,3973,3815,3982,3943,3851,3917,4013,3817,3981,3878,3954,3890,3843,3854,3895,3872,3928,3941,3850,3843,4004,3887,3954,3874,3854,3856,3931,3916,3911,3859,3899,3912,3991,3920,3801,3890,3894,3959,3949,3787,3942,3955,3858,3877,3904,3915,4098,3854,3899,3822,4031
5,3823,3868,3945,3808,3963,3894,3979,3882,3913,3870,3928,3789,3950,3882,3809,3957,4049,3876,3852,3862,3864,3957,3899,3926,3947,3964,3829,3955,3979,3868,3834,3962,3855,3967,3980,3811,3965,3837,3781,3874,4021,3971,3810,3906,3908,3880,3970,3987,3918,3964,3899,3986,3936,3830,4032,3801,3939,3877,3893,3914,3825,3827,3913,3835
6,3870,3830,3932,3935,3975,3967,3907,3868,3906,3915,3892,3867,3853,3913,3847,4020,3987,3881,3966,3904,3968,3908,3876,3917,3860,3835,3988,3919,3981,4056,3977,3957,3869,3883,3867,3909,3959,3955,3870,3934,3984,4040,3907,3838,3955,3848,3927,3934,3995,3916,3778,3926,3795,3900,3887,3957,3909,3897,3930,3974,3977,3788,3899,3932
7,3991,3887,3962,3847,4015,3955,3906,3845,3812,3796,3985,3992,3903,3871,3918,3810,3887,3856,3771,4002,3860,3882,3972,3927,3900,3832,3954,3919,3856,4066,4019,4014,3868,3920,3929,3924,3959,3965,3897,3927,3938,3838,3918,3855,3866,3930,3816,3709,3814,3898,3988,3956,3900,3893,3972,3911,3843,3906,3932,3948,3909,3842,3862,3896
8,3904,3880,3985,3891,3909,3837,3902,3844,3911,3857,3896,4005,3934,3933,3913,4042,3912,3912,3856,3910,4011,3922,3840,3765,3995,4046,3873,4011,3772,3785,3901,3947,3848,3954,3893,3818,3929,3911,3831,3937,4033,3875,3852,3863,3866,3943,3845,3871,3908,3873,3984,3932,3900,4013,3900,3890,3893,3926,3942,3923,3961,3939,3821,3803
9,4059,3923,3904,4002,3861,3857,3912,4049,3969,3980,3822,3815,3939,4010,3895,3897,3932,3931,3946,3859,3858,3949,3944,3918,3870,3844,3884,3856,3812,3879,3888,3704,3887,3951,3934,3843,4021,3880,3871,3954,3912,3868,3886,3850,3905,4000,3958,3885,3897,3854,3952,3917,3947,3792,3778,4021,3802,3808,3913,3898,3942,3903,3883,3913
10,3975,3898,4002,3921,3879,3987,3925,3865,4033,3935,3957,4025,3838,3936,3919,3911,3957,3987,3950,3918,3885,3899,3922,3956,4033,3931,3877,3971,4029,3940,3937,3912,3909,3924,3887,3827,3977,3885,3974,3857,3899,3946,3778,3989,3875,3964,3936,3854,3952,3869,3915,3905,3843,3892,3861,3777,3893,3863,3915,3828,3862,3898,3906,3836
11,3878,4020,3852,3891,4045,3848,3906,3880,3958,3908,3854,4048,3947,3907,3899,3939,3941,4031,3870,3865,3978,3876,3856,3967,3758,3914,3944,3942,3900,3911,3976,3816,3918,3844,3890,3906,3899,3910,3974,3900,3896,3901,3781,4051,3865,3930,3843,3875,4019,3960,3831,3820,3801,3900,3869,4005,3878,3964,3819,3876,3988,3806,3879,3757
12,4007,3927,3946,3876,3991,3852,3902,3883,3912,3869,3800,3857,3784,3893,3725,3953,3908,3850,3967,3856,3940,3884,3858,3895,3823,3798,3896,3960,3939,3855,3905,3849,4010,3847,3873,3805,3842,3950,3988,3913,3895,3975,3927,3912,4004,3868,3980,3847,3892,3853,3944,3877,3817,3961,4035,3915,3850,3850,3970,3882,3915,4051,3926,3841
13,3875,3933,3944,3935,3902,3912,3811,4037,3905,3838,3917,4009,3884,3916,3953,3877,3956,3928,3924,3965,3942,3914,3925,3876,3911,3918,3865,3844,3821,3939,3929,3932,3927,3908,4022,3864,3914,3871,3908,3958,3966,3943,3848,3908,3961,3885,3819,3850,3865,3756,3935,3858,3917,3849,3977,3848,3929,3982,3813,3877,3928,3844,3886,3963
14,3950,3931,3945,3860,3929,3899,3873,3866,3974,3948,3930,3826,3863,4043,3875,3897,4002,3899,3835,4061,4071,3883,3996,3775,3893,3832,3847,3958,3884,3925,3863,3876,3931,3959,3881,3877,3895,3927,3992,3880,3925,3922,3830,3966,3876,3883,3977,3953,3928,3969,3753,3897,3913,3900,3901,3819,3902,3905,4016,3899,4067,3921,3959,3855
15,3803,3862,3906,3802,3842,4072,3912,3879,3914,3839,3934,4006,3887,4000,3953,3829,3758,3849,3911,3797,3861,3920,3794,3922,3929,3929,3943,3957,3916,3818,3890,3976,3928,3942,3882,3891,3825,3808,3889,3870,3920,3984,3920,3986,3913,3870,3902,3872,3920,3956,3895,3904,3863,3857,3781,3897,3793,3887,3871,3914,3835,3965,4020,3917
16,3920,4055,3959,3916,3989,3960,4037,4052,3920,4086,4017,3838,3862,3990,3849,3886,3830,3911,3835,3915,3715,3850,3908,3954,3908,3925,3939,3910,3866,3874,3880,3795,3879,3790,3957,3927,3946,3879,3881,3886,3877,4007,3929,3915,4038,3912,3859,3973,3887,3851,3935,3893,3948,3888,3826,3948,3945,3881,3898,3948,3897,3888,3932,4032
17,3930,3885,3923,4004,3955,3857,3871,3838,4007,3927,3973,3991,3918,3942,3909,3967,3897,3890,4010,3886,3859,3848,3979,3878,4013,3933,3985,3879,3951,3933,3957,3932,3908,3911,3875,3772,3834,3927,3826,3915,3931,3993,3936,3948,3863,3874,3849,3831,3880,3800,3838,3928,3923,3905,4011,3990,3888,3846,3901,3892,3951,3833,3928,3953
18,3799,3911,3772,3873,3897,3939,3918,3974,3914,3871,3800,3972,3917,3917,3933,3919,3948,3983,3998,3938,3854,3764,3875,3885,3832,3841,3929,3833,3963,3907,3937,3843,3864,3832,3790,3929,4046,3941,3930,4057,4011,3850,3824,3836,3931,3861,3847,3891,3935,3915,3907,3833,3896,3809,3819,3799,3908,3992,3847,3964,3827,3788,3872,3917
19,3938,3886,3885,3787,3983,3913,3854,3897,3922,3951,4022,3852,3902,3860,3797,3980,3940,3892,4033,3840,3856,3879,3889,4011,4010,3886,3875,3969,3917,4029,4009,3791,3866,3861,3956,3909,3925,3920,3851,3938,3863,3838,3907,3972,3800,3895,3970,3950,3914,3818,3940,3762,3963,4008,3970,3833,4074,4000,3971,3963,3812,3907,3915,3855
