"",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,3930,3878,3850,3883,3914,3920,3904,3899,3904,3860,3934,3834,3788,3932,3931,3985,3813,3834,3859,3789,3795,3901,3840,3880,3920,3881,3932,3894,3861,3912,3843,3933,3950,3889,3959,3895,3960,3973,3956,3962,3860,3932,3862,3742,3892,3979,3867,3806,3910,3932,3844,3892,3964,3820,3898,3893,3836,3867,3814,3863,3882,3894,3909,3864
1,3877,3926,3875,3882,3862,3865,3916,3830,3847,3884,3974,3874,3892,3982,3867,3947,3825,3934,4064,3920,3963,3871,3802,3983,3892,3995,3913,3818,3963,3905,3757,3875,3906,3908,3973,3941,3883,3925,3877,3866,3999,3943,3899,3873,3810,3896,4081,3912,3980,3987,4018,3948,3920,3850,3936,3884,3840,3852,3833,3906,3856,3799,4011,3905
2,3887,3977,3920,3908,3786,4044,4040,3995,3969,3935,3928,3830,3961,3924,3961,3863,3899,3907,3889,3846,3888,3833,3856,3863,3855,3834,3983,3971,3846,3970,3970,3900,3877,3920,3829,4020,3803,3969,3833,3905,3885,4001,3824,3826,3918,3878,3886,3980,3913,3978,4084,3943,3886,3850,3935,4038,3913,3880,3863,3918,3848,3918,3915,3884
3,3870,4048,4033,3852,3880,3899,3843,3997,3975,3862,3808,3963,3829,3923,4012,3829,3954,3950,3844,3767,3877,3850,3970,3730,3904,3906,3841,3979,3900,3895,3905,3914,3764,3949,3956,3935,3767,3956,3845,3982,3884,3767,3880,3888,3983,3796,4044,3919,3896,3946,3934,3924,3969,3933,3968,3994,3964,3924,3869,3787,3756,3857,3947,3968
4,3904,3944,3786,3909,3862,3914,3916,3903,3851,3845,3891,3895,3847,3892,3852,3984,4010,3840,3859,3964,4042,3960,3820,3829,4017,3973,3974,3871,3797,3896,3851,3892,3982,3957,3852,3869,3789,3950,3916,3839,4063,4027,4005,3842,3854,3811,3954,3953,3878,3892,3929,3785,3919,3975,3890,3897,3952,3942,3892,3907,3952,3917,3898,3879
5,3965,3989,3806,3887,3873,3897,3889,3804,3933,3806,3804,3921,3950,3809,3911,3926,3984,3791,3898,3940,3849,3870,3856,3848,3965,3850,3954,4003,3912,3916,3895,3827,3824,3845,3930,3866,3935,3785,3807,3885,3878,3829,3813,3899,4026,3891,3966,3838,3922,3933,3780,3852,4070,3933,3965,3966,3914,3745,3949,3920,3908,3834,3818,3919
6,3916,3948,3891,3927,3848,3917,3829,3878,3983,3894,3911,3936,3963,3935,3802,3849,3870,3848,3851,3765,3952,4037,3909,3934,3853,3808,3839,3955,3828,3832,3976,4007,3836,3935,3875,3867,3881,3920,3837,3980,3859,3937,3964,3830,3836,3964,3901,4049,3963,3885,3890,3843,3907,3898,3839,3710,3878,3930,3945,3972,4023,3923,3890,4017
7,3972,4030,3833,3930,3893,3889,3902,3881,3882,3805,3924,3921,3865,3955,3803,3870,3883,3893,3886,3954,3861,3961,3786,3940,3812,3782,3863,3971,3874,3964,3960,3951,3996,3875,3738,3987,3948,3892,3959,3861,3947,3836,3931,3854,3948,3964,3872,4028,3847,3976,3920,3963,4019,3791,3919,3892,3852,3909,3916,3924,3957,3980,4074,3892
8,3796,3866,3883,3848,3915,3913,3867,3854,3908,3867,3909,3935,3894,3895,3951,3877,3888,3972,3923,3938,3847,4008,3917,3898,3886,3928,3944,3883,3913,3856,3911,3916,3951,3944,3714,3988,3908,3881,3995,3968,3841,3863,3798,3879,3951,3902,3895,3923,3888,3836,3873,3920,3857,4053,3826,3862,4041,3887,3858,3969,3809,3848,3919,3949
9,3887,3949,4081,3876,3846,3887,3864,3796,4069,3950,3808,3931,3938,3942,3907,3867,3895,3909,3881,3975,3948,3889,3896,4015,3785,3802,3895,3935,4008,3926,3862,3898,3861,3913,3823,3907,3896,3795,3908,3883,3930,3798,3887,3863,3909,3993,3852,3842,3931,3927,3853,3987,3917,3953,3942,4043,3942,3837,3921,3839,3954,3983,3845,3850
10,3918,3904,3855,3961,4023,4072,3893,3919,3898,3856,3905,3834,3939,3989,3905,3940,3995,3897,3903,3760,3949,3966,3816,3938,3930,3872,3834,3930,3880,3979,3894,3820,3989,3855,3902,3923,3979,3892,3914,3911,3839,3864,3991,3952,3820,3945,3920,3937,3915,3974,3794,3913,3808,3890,3836,3992,4054,3884,3911,3832,3876,3851,3883,3940
11,3839,3967,3849,3906,3942,3937,3976,4021,3955,4024,3908,3870,3839,3836,3933,3911,3932,3727,3965,3819,3892,3803,3924,3929,3853,3974,3980,3983,3954,3812,4011,3918,3848,3950,3809,3856,3891,3824,3958,3887,4046,3878,3746,3916,3929,3822,4004,3936,3826,3865,3897,3792,3946,4025,3899,3859,3893,3905,3870,3958,3938,3892,3971,3883
12,3916,3920,3870,4007,3932,3842,3903,3919,3907,3938,3896,3988,3892,3822,3976,3941,3792,3960,3977,3853,3945,3867,3934,3912,3982,4048,3870,3814,4029,3813,3844,3887,3921,3935,3820,3858,3913,3907,3871,3969,3982,3776,3845,3919,3921,3858,4033,3960,3938,3898,3756,3886,3841,3925,3953,3911,3871,3801,3952,4019,4016,3857,3969,3818
13,3981,3767,3852,3924,3907,3877,3893,3897,4052,3851,3900,3923,3884,3903,3881,3940,3941,3797,3911,3814,4024,3853,3876,3859,4012,3844,3908,4016,3870,3857,3935,3905,3922,3837,3856,3847,3876,3894,3902,3891,3848,3961,3924,3883,3914,3856,3894,3981,3821,3873,3853,3931,3831,3954,3869,3969,3884,3931,3891,3957,3810,3948,3970,3931
14,3984,3851,3926,3949,3850,3974,3828,3892,3911,3851,3959,3834,3915,3921,3922,3888,3914,4003,3947,3847,3863,4050,3950,3903,3967,3831,3871,3982,3906,3885,3952,3908,3940,3867,3873,3799,3821,3913,3818,3935,3862,3818,3793,3917,3901,3841,3893,3998,3751,3949,3881,3985,3777,3926,3817,3905,3955,3903,3899,3915,3838,3924,3897,3841
15,3992,3902,4062,3894,3991,3788,3871,3843,3966,3886,3925,4024,3920,3970,3794,3925,3786,3892,3961,3906,3871,3936,3841,3954,3941,3798,4074,3922,3858,3955,4018,3984,3995,3842,3834,3808,3815,4005,3885,3966,3781,3817,3985,3931,3889,4071,3865,3998,3854,3860,3945,3835,3862,3812,3916,3882,3971,3885,3891,3906,3851,3930,3859,4003
