"",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,3909,3941,3880,3946,3882,3933,3924,3991,3920,3987,4064,3874,3928,3920,4008,3890,3889,3925,3956,3932,3867,3903,3920,3820,3915,3806,3832,3911,3881,3833,3893,3933,3769,3868,3859,3872,3880,3796,3846,3950,3813,4028,3896,3813,3969,3928,3897,3912,3985,3960,3844,3916,3896,4019,3871,3909,3931,3947,3963,3832,3891,3923,3918,3892
1,3925,3918,3923,3901,3935,3947,3789,3839,3866,3889,3891,3885,3884,3856,3992,3887,3937,3914,3862,3891,3898,3933,3875,3938,3949,3889,3829,3827,3930,3822,3952,3968,3901,3905,3836,3958,3846,3904,3948,3924,3955,3933,3897,3926,3925,3825,3864,3845,4038,4012,3946,4082,3915,3955,3865,3786,3907,3838,3919,3864,3942,3903,3809,3993
2,3972,3846,3947,3891,3871,3833,3916,3921,3880,4013,4004,3891,3863,3865,3872,4034,3911,3985,3844,3826,3966,3937,3911,3920,3958,3965,4009,3895,3828,3820,3925,3862,3934,3906,3838,3946,3976,3868,3883,3905,3825,3882,3861,3933,3955,3872,4076,3907,3823,3956,3912,3906,3863,3976,3874,3959,3871,3935,3908,3939,3899,3765,4026,3865
3,3853,3774,3815,3793,3885,3899,3890,4028,3960,3944,3865,3850,3875,4004,3863,3844,3837,3957,3927,3900,3894,3835,3869,3967,3902,3762,3995,3966,3869,3947,3930,4064,3883,3930,3964,3871,3813,3921,3830,4012,3885,3911,3883,4033,3854,3910,3851,3902,3879,3750,3856,3863,3960,3942,3836,3965,3896,3908,4031,3848,3968,3942,3862,3954
4,3925,4020,3905,3908,3940,3879,3813,3857,3995,3954,3923,3897,3848,3911,3956,3952,3915,3932,3880,3961,3918,3929,3965,3796,3964,3931,3890,3894,3919,4003,3936,3976,3859,3848,3924,3894,3898,3821,3967,3919,3907,3837,3894,3819,3865,3951,3841,3969,3958,3943,3988,3921,4030,3830,4024,3926,3861,4017,3977,3927,3902,3885,3862,4026
5,3948,3897,3895,3925,3882,3825,3793,3885,3889,3876,3922,4011,3863,3855,3927,3936,4087,3754,3911,3853,3831,3871,3919,3885,3851,3823,3904,4001,4003,3923,3864,3929,3916,3907,4041,3881,3983,3862,3901,3957,3973,3918,3939,3818,3850,3875,3789,3803,4073,3884,4008,3902,3906,3816,3877,3915,3867,3856,3983,3933,3919,3938,3909,3912
6,3854,3932,3824,3902,3834,3922,3902,3973,3965,3897,3831,3879,3816,3938,3933,3963,3931,3912,3882,3926,3957,3924,3816,3947,3978,3801,3940,3936,3928,3889,3914,3911,3914,3867,4019,3972,3879,3938,3915,3861,3947,3927,3947,3935,3782,3881,3804,3934,3889,4038,3936,3878,3955,3935,3882,3945,3998,3895,3964,3937,3907,3945,3875,3874
7,3948,4027,3878,4019,3944,3949,3927,3959,3846,3908,3959,3977,3872,3988,3919,3913,3907,3896,3914,3896,3921,3860,3934,3979,3974,3936,3915,3925,3937,4006,3860,3935,3851,3891,3895,3885,3892,3925,3890,3864,3823,3975,3851,3928,3934,3881,3969,3914,3804,3985,3926,3878,3892,3812,3933,3829,3945,3931,3911,3850,3850,3907,3887,3864
8,3846,3817,3978,3869,3831,3735,3934,3967,3933,4047,3997,3824,4013,3949,3862,3806,3952,3876,3921,3820,3937,3831,3924,3976,3899,3972,3896,4059,4022,3847,3911,3835,3888,3888,3884,3877,3866,3869,3899,3971,3862,3857,3899,3867,3915,3912,3881,3871,3940,3887,3900,4021,3981,3952,4030,3894,3925,3979,3997,3960,3936,3895,3908,3955
9,3938,3906,3905,3791,3870,3798,4024,3930,3831,3964,3971,3813,3804,3924,3996,3904,3761,3909,3824,3863,3899,3866,3850,3857,3928,3925,3770,3914,3979,3843,3875,3954,3914,3850,3931,3880,3872,4039,3970,4011,3957,3925,3847,3831,3934,3993,3881,3872,3987,3941,3878,3921,3846,3868,3941,3981,3842,3908,3899,3928,3938,3918,3832,3808
10,3823,3784,3827,3945,3898,4002,3880,3961,3874,4016,4003,3910,3878,4001,3922,3922,3819,3907,3973,3843,3891,3927,3948,3921,4094,3889,3849,3959,3891,3903,3823,3879,3957,4041,3899,3945,3953,3939,3884,3858,4038,3897,3872,3819,3880,3941,4008,3951,3890,3886,3829,3829,3947,3948,3930,3926,4002,4043,3940,3932,3985,3935,3976,3894
11,3838,3942,3821,3851,3892,3849,3912,3866,3891,3947,3781,3878,3924,3936,3957,4044,3842,3909,3918,3873,3982,4063,3844,3892,3847,3969,3902,3860,3964,3962,3871,3910,3896,3860,3923,3958,3816,3970,3912,3928,3813,3949,3889,3857,4007,3919,3867,3899,3910,4009,3911,3859,3916,3903,3916,3948,3983,3963,3904,3935,3951,4002,3947,3814
12,4009,3866,3951,3853,3906,3908,3881,3867,3940,3955,3903,3940,3982,3943,3898,3857,3941,3979,3808,3863,3817,3981,3941,3913,3873,3921,3900,3960,3816,3951,3792,3965,3941,4011,3863,3921,3814,3816,3976,3923,3936,3917,3902,3833,3859,3966,3922,3916,3870,3998,3825,3849,3969,3896,3945,3796,3875,3900,3967,3956,3886,3949,3979,4033
13,4018,3879,3957,3839,3879,3941,4051,3777,3877,3961,3827,3832,3982,3903,4004,3864,3800,3929,3741,3932,3866,3839,3791,3965,3821,4012,3910,3766,3866,3901,3969,3933,3841,3895,3829,3907,3962,3828,3839,3889,3902,3861,3884,3992,3862,3901,3738,4014,3899,4004,3916,3963,3915,3779,3993,3926,3975,3952,3860,3887,3884,3872,3877,3884
14,3908,3872,3936,3868,3855,3963,3992,3962,3900,4083,3947,4026,3999,3832,3773,3950,3882,3808,3942,3878,3937,3950,3913,3886,3913,3913,3914,4024,3907,3861,3825,3779,3951,3908,3902,3850,3935,3868,3905,3845,3932,3764,3918,3827,3890,3816,3871,3862,3918,3996,3833,3982,4016,3761,3928,3750,3859,3895,3918,3944,3967,3930,3855,3902
15,3846,3977,3845,3947,3805,3934,3908,3920,3861,3840,3869,3813,4009,3807,3863,3815,3944,3941,3953,3797,3867,3887,3945,3845,3994,3899,3869,3949,3883,3921,3861,3940,3963,3995,3809,3801,3926,3943,3730,3873,3841,4007,3853,3919,3968,3918,4065,4026,3846,3967,3948,3941,3836,3970,3888,4009,3899,3850,3799,3829,3946,3917,3957,3963
16,3885,3901,3928,3935,3992,3899,3986,3956,3803,3758,3960,3992,3949,3914,3934,3875,3872,3956,3920,3888,4027,3876,3948,3906,3897,3925,3943,3929,3938,3974,3940,3977,3942,3940,3885,3873,3906,3863,3879,3886,3951,3912,3977,3957,3860,3888,3869,3806,3881,3847,3813,3918,3870,3896,3795,3954,3980,3833,3927,3871,3900,3989,4010,4024
17,3930,4021,4019,3949,3879,3853,4011,4024,3921,3907,3929,3958,3906,3850,3875,3884,4023,3996,3883,3881,3811,3926,4002,3921,3859,3904,3973,3898,3829,3756,3907,3966,3891,3992,3903,3864,3856,3938,3850,3807,3915,3847,3914,3941,3911,3784,3866,3768,3859,3962,3975,3896,3942,3867,3988,3857,3820,3907,3747,3908,3893,3969,3913,3901
18,3858,3892,3909,3904,3994,3826,3926,3974,3903,3909,3836,3989,3784,3925,3863,3805,3878,3935,3865,3888,3929,3974,3835,3888,3963,4019,3876,3795,3918,3927,3884,3873,3938,3975,3758,3974,3838,3982,3890,3943,3899,3877,3904,3919,3896,4022,3766,3902,3930,3981,3957,3982,3942,3853,3871,3904,4023,3952,3859,3974,3794,3867,3824,3892
19,3992,3983,3972,3930,3972,3819,3927,3818,3874,3774,3917,3899,3880,3825,3850,3921,3814,3886,3969,3860,3951,3844,3896,3900,3891,3925,3932,3716,3870,3950,3957,3872,3819,3803,3967,3873,3855,3956,3924,3985,3965,3889,3897,3893,3911,3901,3970,3980,4012,3943,3844,3900,3886,3998,3897,3869,3931,4000,3975,3875,3845,3813,3812,3924
20,3985,3892,3927,3767,3858,3960,3894,3953,3875,3942,3962,3971,3880,3743,3960,3915,3851,3860,3890,3833,3855,3818,3970,3903,3902,3812,3839,3844,3900,3888,3944,3803,3921,3854,3968,3934,3857,3914,3911,3940,3882,3977,3881,3885,3866,3934,3794,3929,3902,4000,3784,3884,3914,3790,3972,3879,3861,3929,3857,3821,3976,3937,4025,3935
21,3885,3902,3934,3941,3901,3897,4026,3809,3964,3895,3862,3910,3989,3905,3929,3801,3953,3858,3903,3896,3820,3802,3846,3868,3938,3916,3904,3916,3891,3882,3874,3936,3954,3890,3954,3949,3967,3956,3761,3805,3850,3880,3994,3937,3934,3864,3915,3929,3898,3959,4056,3938,3972,3786,3895,3886,3928,3855,3910,3777,3993,3970,3843,3898
22,3934,3917,3938,3995,3819,3866,3903,3879,3846,3886,3854,3880,3957,3880,3983,3871,3866,3866,3918,3874,3911,3850,3949,3888,3859,3824,3902,3869,3799,3990,3871,3944,3837,3994,3865,3914,3980,3964,3987,3892,3973,3905,3832,3870,3904,3920,3983,3898,3865,3867,3974,3881,3824,3944,3881,3913,3926,3919,3965,3873,3830,4008,3965,3863
23,3809,3866,3892,3877,4026,3877,3984,3976,3958,3806,4007,4053,3826,3934,3834,4029,3983,3790,3885,3906,3907,4037,3818,3963,3823,3912,3980,3946,3996,3960,3897,3979,3893,3964,4016,3829,3943,4002,4062,3847,3923,3966,3914,3879,4021,3899,3894,3918,3931,4008,3828,4034,3847,3937,3862,3930,3931,3887,3899,3877,3938,3856,3953,3877
24,3875,3952,3878,3797,3926,3927,3979,3848,3949,3836,3877,3859,4027,3934,4071,3915,3842,3872,3865,3943,3903,3845,3836,3762,3933,3864,3863,4008,3880,3988,3951,4047,3855,3808,3936,3966,3819,3948,3847,3914,3976,3798,3876,3955,4005,3952,3931,3993,3891,3842,3837,3874,3842,3920,3966,3886,3954,3879,3867,3973,3906,3907,3858,3861
25,4020,3928,3887,3824,3920,3847,4029,3851,3903,3871,4019,3997,3932,3975,3896,3889,3926,3966,3902,3943,4014,3838,3929,3892,3999,3960,3850,3897,3917,3881,3840,3955,4002,3974,3907,3875,3804,3929,3918,3898,3831,3880,3969,3903,3926,3828,3841,3877,3944,3868,3944,3869,3996,3838,3905,3851,3983,3910,3971,3836,3908,3959,3931,3924
26,3918,3870,3824,3891,3938,3872,3804,3945,3856,3840,4017,3979,3883,3915,3860,3877,3738,3847,3933,3870,3918,3958,3968,4010,3883,3847,3938,3883,3874,3962,3953,3903,3806,3957,3881,3894,3798,3906,3915,3858,3864,3888,3880,3903,3775,3891,3851,3911,3853,3951,3941,3978,3961,3907,3943,3896,3923,3924,3986,3883,3843,4005,3845,3943
27,3991,3861,3920,3948,4026,3951,3998,3860,3986,3888,3965,3965,3873,3956,3831,3965,3904,3842,4003,3896,3690,3894,3911,3848,3795,3931,3960,3835,3945,3879,3891,4012,3940,3816,3942,3991,4011,3966,3914,3982,3886,4029,3807,3880,3792,3865,3882,3807,3872,3841,3971,3957,3902,3962,3859,3918,3907,3940,3925,3891,4000,3924,3909,3914
28,3858,3849,3792,3931,3875,3787,3971,3914,3926,3985,3810,3827,3836,3843,3906,3805,3784,4007,3819,3898,3933,3756,3860,3844,3952,3886,3876,3908,3876,3887,3850,3898,3953,3910,3896,3931,3950,3822,3875,3943,3967,3923,3894,3844,3979,3916,3965,3920,3844,3933,3899,3909,3873,3840,3892,3883,3947,3923,3954,3867,3917,3840,3895,3805
29,3896,3943,3870,3968,3973,3871,3858,3942,3786,3914,3989,3904,4012,3924,3947,3892,3946,3909,4042,3917,3857,3896,3901,3928,3867,3856,3914,3798,3978,3984,3867,3992,3923,3983,3936,3950,3853,3906,3936,3904,3887,3975,3925,3846,3767,3974,3927,3885,3905,3980,3927,3870,3852,3873,3881,3878,3872,3902,3844,3980,3909,3909,3877,3974
30,3932,3890,3873,3743,3862,3884,3912,3932,3883,3854,3894,3874,3896,3818,3899,3984,3915,3866,3872,4001,3973,3887,3873,3939,3940,3931,3924,3836,3886,4003,3890,4001,3928,3881,3994,3954,3918,3871,3832,3865,3940,3966,3932,3854,3903,3899,3866,3945,3790,3917,3881,3830,3928,3996,3845,3944,3918,3926,3892,3909,3871,3842,3885,3867
31,3885,3921,3996,3865,3826,3951,3975,3942,3896,3791,3871,3899,3971,3925,3881,3917,3806,3920,3975,3890,3967,3967,3926,3886,3787,3885,3778,3923,3967,3882,3877,3907,3817,3862,3895,3821,3912,3967,3824,3940,3930,3923,3871,3978,3912,3998,4015,3867,3767,3899,3976,3884,3820,3865,4022,4079,3869,3881,3861,3968,3912,3934,3896,3904
32,3862,3981,3959,4062,4024,3877,3947,3981,3846,3865,3969,3936,3913,3974,3885,3918,3973,3861,3845,3876,3938,3967,3882,3927,3876,3831,3934,3992,3933,3930,3886,3935,3899,3896,3967,3809,3841,3815,3809,3931,3894,3861,3911,3889,3933,3834,3896,3876,3931,3886,3873,3923,3913,3903,3875,3914,4007,3859,3923,3908,3905,3995,3905,3835
33,3933,3887,3978,4037,3866,3884,3899,3888,3924,3863,4021,3946,3879,3784,3905,3964,3933,3934,3937,4042,3944,3933,3918,3847,3927,4017,3925,3925,3942,3862,3931,3883,3871,3886,3846,3876,3998,3933,3933,4070,3926,3932,3915,3788,3835,3929,4041,3903,3975,3901,3974,3974,3887,3929,3820,3861,3843,3865,3837,4004,3983,3903,3995,3879
34,3941,3881,3853,3972,3933,3911,3927,3856,3848,3911,3921,3846,3990,3896,3967,3949,3967,3848,3952,3863,3890,3899,3994,3792,3987,3916,3858,3963,3930,3867,3950,3899,3913,3854,3930,3939,4044,3893,3879,3944,3959,3898,3931,3947,3839,3861,3755,3968,3992,3926,3911,3834,3847,3772,3919,4047,3916,3861,3928,3952,3915,3948,3901,3997
